horse_id	race_id	日付	開催	天気	R	レース名	枠番	馬番	オッズ	人気	騎手	斤量	距離	馬場	馬体重	着順	前走着順	前々走着順	pred	馬名
2022104092	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	5.0	8	7.4	4.0	マーカン	56.0	芝1600	良	476(0)	5			0.1065600916269631	サクラアドリア
2022103018	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	5.0	9	213.8	14.0	丸田恭介	55.0	芝1600	良	454(0)	10			0.0058687254140974	シェーンルスカ
2022103206	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	6.0	10	40.6	7.0	石川裕紀	55.0	芝1600	良	450(0)	4			0.0181972759246869	フューチャーファン
2022105537	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	6.0	11	101.9	10.0	吉田豊	56.0	芝1600	良	448(0)	15			0.0108877105084771	ポッドソル
2022100462	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	7.0	12	22.9	5.0	菅原明良	56.0	芝1600	良	466(0)	9			0.0386093175853158	バットスティンガー
2022103871	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	7.0	13	118.1	11.0	木幡巧也	56.0	芝1600	良	448(0)	13			0.0093149451163684	ワカギミ
2022104911	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	8.0	14	3.3	2.0	ルメール	55.0	芝1600	良	396(0)	7			0.2164365111026555	レガーロカリーノ
2022103577	202406050806	2024/12/22	中山	晴	6.0	2歳新馬	8.0	15	51.7	9.0	横山琉人	55.0	芝1600	良	474(0)	6			0.0182814944976892	リッキースタイル
2021106583	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	1.0	1	163.0	12.0	松岡正海	57.0	ダ1800	良	476(+12)	16	8	7	0.0074008532743724	ユイノコキュウ
2018101497	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	1.0	2	176.1	13.0	ドイル	56.0	ダ1800	良	488(0)	8	11	6	0.0059318936408302	デリシュレーヌ
2021103017	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	2.0	3	135.1	11.0	原田和真	57.0	ダ1800	良	500(+16)	6	6	4	0.0073302649060764	オウケンシルヴァー
2021104314	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	2.0	4	3.4	1.0	川田将雅	57.0	ダ1800	良	486(-6)	7	3	2	0.1753301356819323	ダンツティアラ
2021106845	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	3.0	5	51.6	8.0	石神深道	54.0	ダ1800	良	488(+12)	5	4	10	0.027225540248244	ザロック
2021104762	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	3.0	6	4.3	3.0	ルメール	57.0	ダ1800	良	456(-12)	9	1	2	0.1888065602706475	レッドアレグロ
2021105575	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	4.0	7	23.2	6.0	マーカン	57.0	ダ1800	良	484(+8)	14	4	6	0.0462348493010023	セイロンジェムズ
2021105182	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	4.0	8	4.2	2.0	Ｃ．デム	57.0	ダ1800	良	512(+4)	1	2	3	0.3087765498445652	ドバイブルース
2021104754	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	5.0	9	99.2	10.0	丸田恭介	55.0	ダ1800	良	516(+4)	4	4	15	0.0096801571755569	ベルフィーヌ
2021100329	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	5.0	10	5.3	4.0	横山和生	57.0	ダ1800	良	510(+6)	3	3	10	0.1450316664439177	プルナチャンドラ
2021101928	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	6.0	11	6.1	5.0	ムーア	57.0	ダ1800	良	468(0)	2	2	2	0.1234220876213693	チザルピーノ
2019101403	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	6.0	12	350.7	16.0	横山琉人	55.0	ダ1800	良	468(+12)	11	15	1	0.0057066067800237	プラチナジェット
2020105510	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	7.0	13	345.3	15.0	木幡巧也	58.0	ダ1800	良	478(+6)	15	9	11	0.005548974420427	インオービット
2021101201	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	7.0	14	41.5	7.0	横山武史	57.0	ダ1800	良	486(+14)	10	9	5	0.0156703521440847	ロードインフェルノ
2019106972	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	8.0	15	299.2	14.0	佐藤翔馬	55.0	ダ1800	良	454(+8)	12	5	6	0.0053925376463116	ロストボール
2021105890	202406050807	2024/12/22	中山	晴	7.0	3歳以上1勝クラス	8.0	16	53.4	9.0	菅原明良	57.0	ダ1800	良	500(+6)	13	16	1	0.0174148309610127	ロクシアス
2019104952	202406050808	2024/12/22	中山	晴	8.0	冬至特別(2勝クラス)	1.0	1	53.1	8.0	武藤雅	56.0	ダ1200	良	450(+16)	7	10	3	0.0222644134813868	ロープスピニング
2020103575	202406050808	2024/12/22	中山	晴	8.0	冬至特別(2勝クラス)	1.0	2	99.0	11.0	北村宏司	58.0	ダ1200	良	508(+12)	14	15	8	0.010245201748483	シュバルツガイスト
2021101121	202406050808	2024/12/22	中山	晴	8.0	冬至特別(2勝クラス)	2.0	3	4.0	2.0	松山弘平	55.0	ダ1200	良	472(+6)	16	1	2	0.1741899711591628	ミライテーラー
2021100161	202406050808	2024/12/22	中山	晴	8.0	冬至特別(2勝クラス)	2.0	4	27.7	7.0	マーカン	57.0	ダ1200	良	462(+10)	1	10	11	0.0284506808205012	ロードフロンティア
2021106307	202406050808	2024/12/22	中山	晴	8.0	冬至特別(2勝クラス)	3.0	5	13.2	6.0	津村明秀	57.0	ダ1200	良	488(+8)	5	13	1	0.050590144329372	モリノセピア
2019105064	202406050808	2024/12/22	中山	晴	8.0	冬至特別(2勝クラス)	3.0	6	145.7	14.0	ドイル	56.0	ダ1200	良	440(-10)	10	10	6	0.0069242976302816	ファミリークレスト
2021105965	202406050808	2024/12/22	中山	晴	8.0	冬至特別(2勝クラス)	4.0	7	6.3	5.0	戸崎圭太	57.0	ダ1200	良	528(+8)	6	1	5	0.1247108845898112	ダノンマカルー
