index	bet_type	win_umaban	return
628	複勝	['9']	170
628	複勝	['13']	130
628	複勝	['14']	150
630	馬連	['9', '13']	1090
631	ワイド	['9', '13']	410
631	ワイド	['9', '14']	770
631	ワイド	['13', '14']	310
632	馬単	['9', '13']	2380
633	三連複	['9', '13', '14']	1740
634	三連単	['9', '13', '14']	10450
635	単勝	['4']	400
636	複勝	['4']	170
636	複勝	['3']	300
636	複勝	['6']	120
638	馬連	['3', '4']	2860
639	ワイド	['3', '4']	850
639	ワイド	['4', '6']	350
639	ワイド	['3', '6']	820
640	馬単	['4', '3']	4440
641	三連複	['3', '4', '6']	3210
642	三連単	['4', '3', '6']	18830
643	単勝	['12']	450
644	複勝	['12']	160
644	複勝	['14']	360
644	複勝	['11']	130
646	馬連	['12', '14']	3930
647	ワイド	['12', '14']	950
647	ワイド	['11', '12']	290
647	ワイド	['11', '14']	860
648	馬単	['12', '14']	5890
649	三連複	['11', '12', '14']	2700
650	三連単	['12', '14', '11']	25050
651	単勝	['12']	140
652	複勝	['12']	110
652	複勝	['6']	220
652	複勝	['7']	580
654	馬連	['6', '12']	670
655	ワイド	['6', '12']	320
655	ワイド	['7', '12']	1270
655	ワイド	['6', '7']	4400
656	馬単	['12', '6']	790
657	三連複	['6', '7', '12']	8010
658	三連単	['12', '6', '7']	16930
659	単勝	['4']	820
660	複勝	['4']	200
660	複勝	['2']	130
660	複勝	['16']	230
662	馬連	['2', '4']	1010
663	ワイド	['2', '4']	440
663	ワイド	['4', '16']	1370
